"Date";"Open";"High";"Low";"Close";"Volume";"Market.Cap"
2018-03-10;9339,626812522;9525,484269799;8821,456070162;8894,85712022;4505811284,20206;157349154451,724
2018-03-11;8856,718881049;9704,329233795;8581,458152794;9570,367448236;4665413193,99182;153523238058,018
2018-03-12;9557,854232694;9893,08361319;8803,801209847;9216,378705589;5058109366,78548;161075947417,118
2018-03-13;9179,776981508;9481,70819159;8948,052187409;9208,440502074;5095834459,8423;155752941708,584
2018-03-14;9206,908110717;9352,331545373;8036,245910917;8262,032897029;4034218467,20844;149354974929,533
2018-03-15;8255,725415537;8417,992103622;7750,225412497;8291,944665773;5294581212,12248;138332645701,891
2018-03-16;8302,595689134;8570,713787447;7982,803113989;8315,139162841;4153900849,21764;141272921832,37
2018-03-17;8294,104092354;8325,924047407;7795,179879926;7906,383969743;4224100753,48019;137483922115,428
2018-03-18;7912,658935325;8232,483152026;7364,223838206;8092,439641691;4628590454,30185;129663399258,248
2018-03-19;8195,616341537;8662,302735016;8153,675879633;8588,661985749;5074015987,8789;144055858647,117
2018-03-20;8620,287305561;9045,588197675;8369,279766327;8892,783654103;4501108575,65215;146451375941,212
2018-03-21;8907,399598381;9173,541313476;8862,636693779;8978,018989541;4432036552,37476;153213993287,215
2018-03-22;8970,660358236;9104,403920285;8570,975758139;8721,57;3735442600,65736;148850664794,996
2018-03-23;8728,47;8865,051157414;8342,776072565;8865,051157414;4026875184,2476;145006569184,449
2018-03-24;8923,404782927;9002,746568517;8634,654030499;8661,018753079;3067943937,35405;149796255286,361
2018-03-25;8554,421564965;8680,428839237;8425,566950814;8466,556129044;3029683211,95221;146027822374,361
2018-03-26;8453,806862484;8522,628689775;7907,885470135;8187,383924464;2833668579,51054;140368288652,557
2018-03-27;8171,701764094;8210,957189012;7786,080921586;7828,22173159;3702257445,23248;135732326694,809
2018-03-28;7821,605869561;8097,640956816;7791,30308437;7954,826953349;3173707435,98788;134738550293,393
2018-03-29;7947,62755735;7976,070834878;7010,869710712;7178,058622813;3386756377,23702;128256618601,822
2018-03-30;7154,016617403;7256,653696904;6665,141403198;6880,453143775;4781184232,51551;117674103198,587
2018-03-31;6875,890211418;7188,225640209;6842,08021798;6955,124517538;4072365790,65693;119471347711,275
2018-04-01;6959,890619635;7054,477479687;6506,022091086;6830,630577316;3598865261,86643;116292884529,765
2018-04-02;6841,725764416;7116,9356845;6806,530092794;7061,622525898;3914063316,87707;118714544792,539
2018-04-03;7066,360264855;7521,805049919;7053,685669768;7454,691790393;4155294223,9418;125196524425,385
2018-04-04;7454,194480807;7454,194480807;6791,910366522;6840,936109893;4231706034,98842;120987270374,989
2018-04-05;6844,005785453;6936,155483977;6651,188593663;6819,726657106;4403251763,52256;115381166132,261
2018-04-06;6796,855663533;6869,360103371;6601,406734071;6637,296686235;3711281114,35592;113749617596,85
2018-04-07;6640,309470519;7037,930491344;6637,54156298;6894,151859073;3240556397,71894;116709872180,672
2018-04-08;6898,345032954;7076,715293438;6898,345032954;7000,923354625;3056918181,44754;118826615776,689
